Category,Subcategory,Conceptual Variable,Study,Variable,Question_text,Interviewer_instruction,Values,Coded_values
COVID Exposure,Diagnosis,Was R ever diagnosed with COVID-19 by health care provider,HRS,C331,Were you ever diagnosed with a COVID-19 infection by a test or health care provider?,,"Yes;
No;
Don't know;
Refused","1
5
DK
RF"
COVID Exposure,Diagnosis,Did R ever test positive for COVID-19?,HRS,C331,Were you ever diagnosed with a COVID-19 infection by a test or health care provider?,,"Yes;
No;
Don't know;
Refused","1
5
DK
RF"
COVID Exposure,Symptoms,Did R have any COVID-19 symptoms?,HRS,C332,Did you ever have symptoms?,"IF R HAD COVID-19 MORE THAN ONCE, TELL THEM TO REFER TO THEIR WORST EXPERIENCE.","Yes;
No;
Don't know;
Refused","1
5
DK
RF"
COVID Exposure,Long COVID,Is R experiencing symptoms/continuing health problems related to COVID-19,HRS,C333,Do you continue to have health problems related to your experience with COVID-19?,,"Yes;
No;
Not sure (HAVE HEALTH PROBLEMS, BUT UNSURE IF THEY ARE BECAUSE OF CORONAVIRUS);
Don't know;
Refused","1
5
6
DK
RF"
Vaccination,Vaccination status,Has R received [at least one dose of] a COVID-19 vaccine,HRS,C327,Have you ever had a COVID-19 vaccine?,,"Yes;
No;
Don't know;
Refused;","1
5
DK
RF"
Vaccination,Vaccination timing,Month of R's most recent COVID-19 vaccination or booster,HRS,C328,"What was the date of your most recent vaccine? If you have gotten a booster shot, please give us the month, day, and year of that shot. Month:",,,
Vaccination,Vaccination timing,Day of R's most recent COVID-19 vaccination or booster,HRS,C329,"[What was the date of your most recent vaccine? If you have gotten a booster shot, please give us the month, day, and year of that shot.] Day:",,,
Vaccination,Vaccination timing,Year of R's most recent COVID-19 vaccination or booster,HRS,C330,"[What was the date of your most recent vaccine? If you have gotten a booster shot, please give us the month, day, and year of that shot.] Year:",,,
Vaccination,Vaccination timing,Year of R's next most recent COVID-19 vaccination or booster,HRS,C330,"[What was the date of your most recent vaccine? If you have gotten a booster shot, please give us the month, day, and year of that shot.] Year:",,,
COVID Exposure,Diagnosis,Has R had COVID-19,PSID,HCOVID19,[Have you / Has [REFERENCE PERSON] / Has [SPOUSE-PARTNER]] had COVID-19?,Remind R to include times when R thought or a doctor or other health professional diagnosed they probably had COVID-19,"Yes;
No","1
5"
COVID Exposure,Diagnosis,Has R had COVID-19 more than once,PSID,HCOVID20,[Have you / Has [REFERENCE PERSON] / Has [SPOUSE-PARTNER]] had COVID-19 more than once?,Remind R to include times when R thought or a doctor or other health professional diagnosed they probably had COVID-19,"Yes;
No","1
5"
COVID Exposure,Diagnosis,Month R last had COVID-19,PSID,HCOVID21MO,In what month and year did [you / [REFERENCE PERSON] / [SPOUSE-PARTNER]] [HCOVID20=1: last] have COVID-19)?,SELECT Month and [Enter] to go to next screen for year,"January;
February;
March;
April;
May;
June;
July;
August;
September;
October;
November;
December;
Winter (Dec-Feb);
Spring (Mar-May);
Summer (Jun-Aug);
Fall (Sep-Nov)","1
2
3
4
5
6
7
8
9
10
11
12
21
22
23
24"
COVID Exposure,Diagnosis,Year R last had COVID-19,PSID,HCOVID21YR,In what month and year did [you / [REFERENCE PERSON] / [SPOUSE-PARTNER]] [HCOVID20=1: last] have COVID-19)?,ENTER the year below,2020-present year,
COVID Exposure,Treatment & Hospitalization,"Has R ever been prescribed antiviral treatments, monoclonal antibodies, or another treatment for COVID-19?",PSID,HCOVID23,"Has a doctor or other health professional [HCOVID20=1: ever] prescribed you antiviral treatments, monoclonal antibodies, or another treatment for COVID-19? This treatment could have been administered by pill, injection, or through an IV infusion.",,"Antiviral treatments;
Monoclonal antibodies;
Other-specify","1
2
3"
COVID Exposure,Treatment & Hospitalization,Was R admitted to hospital for COVID-19?,PSID,HCOVID10,"[Were you / Was [REFERENCE PERSON] / Was [SPOUSE-PARTNER]] admitted to a hospital
because of COVID-19?",,"Yes;
No","1
5"
COVID Exposure,Treatment & Hospitalization,# nights R spent in hospital for COVID-19?,PSID,HCOVID11,How many nights did [you / he / she] spend in the hospital?,,Jan-60,
COVID Exposure,Treatment & Hospitalization,"Did R require oxygen, ICU, or breathing tube for COVID-19?",PSID,HCOVID12,Did [you / he / she] require any of the following treatments?,"READ list
ENTER all that apply","Oxygen (in the nose or using a facemask);
Intensive care or ICU monitoring;
A breathing tube or ventilator;
Other-specify;
None of the above ","1
2
3
6
7"
COVID Exposure,Symptoms,Did R have any COVID-19 symptoms?,PSID,HCOVID13,Did [you / [REFERENCE PERSON] / [SPOUSE-PARTNER]] have any COVID-19 symptoms?,"If R had COVID-19 more than once, PROBE: Please tell us about the worst experience","Yes;
No","1
5"
COVID Exposure,Symptoms,How bad were COVID-19 symptoms at their worst?,PSID,HCOVID14,"Overall, when these symptoms were at their worst, how bad or bothersome were they?
Would you say they were mild, moderate, severe or very severe?",,"Mild;
Moderate;
Severe; 
Very severe","1
2
3
4"
COVID Exposure,Long COVID,Is R experiencing symptoms/continuing health problems related to COVID-19,PSID,HCOVID15,"Are [you / he / she] currently experiencing any lingering physical or mental health effects from
COVID-19 [HCOVID13=YES: or these symptoms]?","If R says not sure if symptoms are due to COVID-19 or some other condition, ENTER [2]","Yes;
Not sure; 
No","1
2
5"
COVID Exposure,Long COVID,"Are COVID-19-related health problems physical, mental, or both",PSID,HCOVID16,"Are these physical health effects, mental health effects, or both?",,"Physical; 
Mental; 
Both","1
2
3"
COVID Exposure,Long COVID,How bad are lingering health effects of COVID-19?,PSID,HCOVID17,"How bad or bothersome are the lingering physical or mental health effects from
COVID-19 [HCOVID13=YES: or these symptoms]? Would you say they are mild,
moderate, severe or very severe?",,"Mild;
Moderate; 
Severe; 
Very severe","1
2
3
4"
Vaccination,Vaccination status,Has R received [at least one dose of] a COVID-19 vaccine,PSID,HCOVID1A,[Have you / Has [REFERENCE PERSON] / Has [SPOUSE-PARTNER]] had a vaccine for COVID-19?,"Some COVID-19 vaccines require 2 shots: ENTER [1] if this person has received the first shot, whether or not they have received the second shot","Yes; 
No","1
5"
Vaccination,Vaccination timing,Month of R's most recent COVID-19 vaccination or booster,PSID,HCOVID18MO,In what month and year did [you / [REFERENCE PERSON] / [SPOUSE-PARTNER]] receive [your / his / her] most recent COVID-19 vaccination or booster shot? Month,,"January;
February;
March;
April;
May;
June;
July;
August;
September;
October;
November;
December;
Winter (Dec-Feb);
Spring (Mar-May);
Summer (Jun-Aug);
Fall (Sep-Nov)","1
2
3
4
5
6
7
8
9
10
11
12
21
22
23
24"
Vaccination,Vaccination timing,Year of R's most recent COVID-19 vaccination or booster,PSID,HCOVID18YR,In what month and year did [you / [REFERENCE PERSON] / [SPOUSE-PARTNER]] receive [your / his / her] most recent COVID-19 vaccination or booster shot? Year,,2020-current year,
Vaccination,Vaccination timing,Year of R's next most recent COVID-19 vaccination or booster,PSID,HCOVID18YR,In what month and year did [you / [REFERENCE PERSON] / [SPOUSE-PARTNER]] receive [your / his / her] most recent COVID-19 vaccination or booster shot? Year,,2020-current year,
Vaccination,Number of vaccines,How many COVID-19 vaccinations has R received,PSID,HCOVID18A,How many COVID-19 vaccinations [have you / has [REFERENCE PERSON] / has [SPOUSE-PARTNER]] had?,,9-Jan,
Vaccination,Number of vaccines,Has R had all COVID-19 vaccines recommended/eligible,PSID,HCOVID18,[Have you / Has [REFERENCE PERSON] / Has [SPOUSE-PARTNER]] had all COVID-19 vaccinations that are recommended and for which [you are / he is / she is] eligible?,"Some COVID-19 vaccines require 2 shots; you may be eligible for one or two booster shots, depending on your age, risk factors, and when you received your previous shot(s)","Yes;
No","1
5"
COVID Exposure,Diagnosis,Was R ever diagnosed with COVID-19 by health care provider,Pulse 3.7,VAC8_B,"Have you ever tested positive for COVID-19 (using a rapid point-of-care test, self-test, or laboratory test) or been told by a doctor or other health care provider that you have or had COVID-19?",,"Yes;  
No",
COVID Exposure,Diagnosis,Did R ever test positive for COVID-19?,Pulse 3.7,VAC8_B,"Have you ever tested positive for COVID-19 (using a rapid point-of-care test, self-test, or laboratory test) or been told by a doctor or other health care provider that you have or had COVID-19?",,"Yes;  
No",
